X,Y,Z,SIGNAL_STRENGTH
122,6,-52,183
139,7,-54,175
160,8,-54,175
174,9,-53,183
200,10,-53,159
333,17,-43,70
377,20,-36,175
383,20,-25,175
379,20,-12,175
355,19,17,98
380,20,30,175
374,20,41,167
375,20,54,167
392,21,110,40
397,21,167,35
369,19,213,35
362,19,256,84
379,20,289,159
372,19,346,84
351,18,422,60
232,12,365,55
180,9,381,40
114,6,353,60
-272,-14,550,30
-389,-20,589,55
-402,-21,468,45
-400,-21,359,40
-397,-21,275,55
-389,-20,227,98
-389,-20,208,159
-390,-20,190,159
-383,-20,172,167
-387,-20,159,167
-388,-20,146,175
-387,-20,131,167
-391,-20,119,183
-391,-20,105,175
-394,-21,93,175
-387,-20,78,175
-385,-20,67,175
-386,-20,54,167
-386,-20,42,167
-386,-20,29,175
111,6,-52,70
123,6,-52,175
135,7,-52,175
154,8,-53,175
172,9,-53,175
200,10,-55,167
304,16,-44,65
376,20,-41,175
375,20,-31,167
381,20,-19,175
358,19,-5,159
359,19,6,98
366,19,18,175
379,20,30,175
377,20,43,183
379,20,55,167
392,21,108,45
389,20,162,65
364,19,207,35
364,19,255,84
376,20,284,159
370,19,344,84
350,18,420,50
254,13,400,55
167,9,358,35
108,6,338,55
42,2,233,40
-12,-1,160,50
-34,-2,168,30
-403,-21,472,55
-397,-21,361,65
-394,-21,276,45
-386,-20,226,98
-393,-21,188,98
-384,-20,168,175
-389,-20,156,175
-386,-20,141,175
-382,-20,125,175
-387,-20,113,167
-383,-20,99,167
-397,-21,89,175
-381,-20,75,175
-384,-20,63,183
-387,-20,50,175
-388,-20,38,175
-391,-20,26,183
113,6,-52,70
125,7,-53,175
133,7,-52,167
150,8,-52,175
171,9,-54,159
185,10,-51,167
234,12,-56,159
352,18,-42,70
376,20,-33,167
354,19,7,175
357,19,18,175
379,20,31,175
377,20,41,183
377,20,53,175
380,20,73,183
392,21,128,65
378,20,179,60
349,18,221,65
373,20,283,98
374,20,309,159
360,19,373,70
322,17,434,55
142,7,357,60
-22,-1,166,50
-46,-2,177,35
-67,-3,165,30
-400,-21,417,35
-396,-21,319,45
-391,-20,247,70
-380,-20,220,167
-389,-20,207,159
-392,-21,171,98
-383,-20,153,175
-386,-20,140,167
-384,-20,125,159
-389,-20,113,167
-380,-20,98,167
-382,-20,85,183
-386,-20,73,167
-383,-20,60,183
-382,-20,48,175
-383,-20,36,175
-397,-21,22,167
-2213,-116,-451,30
112,6,-52,84
123,6,-52,175
140,7,-54,175
160,8,-55,175
175,9,-54,167
235,12,-45,70
374,20,-33,84
379,20,-20,159
357,19,-7,167
362,25,10,159
369,26,22,167
380,27,34,175
378,26,46,167
376,26,58,167
400,28,115,35
400,28,173,65
362,25,216,45
372,26,271,84
368,26,327,84
358,25,406,70
252,18,375,35
194,14,388,60
127,9,365,60
-10,-1,191,35
-34,-2,182,30
-48,-3,151,30
-400,-28,479,60
-398,-28,373,40
-395,-28,287,50
-385,-27,230,84
-382,-27,211,167
-382,-27,194,167
-383,-27,180,167
-381,-27,165,167
-384,-27,152,175
-382,-27,137,175
-386,-27,124,167
-374,-26,107,167
-383,-27,97,183
-386,-27,85,175
-380,-27,71,175
-379,-26,58,175
-386,-27,47,175
-379,-26,33,175
-385,-27,-14,45
110,8,-51,70
128,9,-54,175
139,10,-54,167
152,11,-54,175
175,12,-56,175
220,15,-47,84
368,26,-43,84
375,26,-33,175
381,27,-21,175
369,26,-8,175
365,26,22,98
381,27,36,175
381,27,48,167
380,27,60,159
401,28,119,60
389,27,169,55
359,25,214,40
370,26,270,84
381,27,299,159
371,26,357,70
345,24,431,45
226,16,368,65
156,11,349,40
106,7,352,40
8,1,190,55
-17,-1,192,40
-41,-3,187,40
-57,-4,160,55
-372,-26,550,40
-399,-28,455,50
-389,-27,344,40
-394,-28,266,50
-387,-27,241,183
-380,-27,220,175
-386,-27,207,167
-388,-27,169,98
-385,-27,153,175
-385,-27,139,167
-386,-27,126,175
-387,-27,113,175
-384,-27,99,167
-382,-27,86,167
-383,-27,73,175
-387,-27,61,175
-383,-27,48,167
-381,-27,35,175
-387,-27,23,175
108,8,-51,84
122,9,-52,175
134,9,-52,183
151,11,-53,175
165,12,-52,175
197,14,-55,167
307,21,-44,65
368,26,-40,175
379,26,-29,183
383,27,-18,175
359,25,-5,167
345,24,3,159
355,25,14,167
372,26,25,183
372,26,38,167
381,27,51,175
371,26,62,175
385,27,115,35
392,27,173,35
358,25,216,50
376,26,271,98
384,27,299,159
365,26,351,70
344,24,428,45
236,17,384,55
171,12,381,40
106,7,352,45
-15,-1,166,55
-36,-3,159,55
-303,-21,585,55
-366,-26,529,30
-402,-28,445,50
-396,-28,342,40
-393,-27,260,55
-380,-27,232,175
-385,-27,216,167
-384,-27,200,175
-393,-27,189,159
-383,-27,169,175
-385,-27,155,175
-385,-27,141,175
-384,-27,127,159
-381,-27,113,175
-381,-27,100,175
-392,-27,89,175
-381,-27,74,167
-384,-27,62,175
-381,-27,49,175
-381,-27,37,167
-385,-27,24,167
114,8,-53,98
125,9,-53,175
135,9,-52,183
153,11,-53,167
168,12,-53,175
195,14,-54,159
309,22,-44,65
369,26,-40,167
375,26,-28,175
381,27,-17,175
358,25,-3,159
363,25,12,167
