X,Y,Z,SIGNAL_STRENGTH
-54,217,-84,167
-52,207,-85,175
-54,216,-93,167
-52,209,-96,183
-53,211,-102,183
-52,207,-106,167
-53,213,-115,175
-52,210,-119,167
-51,205,-123,167
-51,205,-129,159
-53,211,-140,159
-52,208,-157,84
-53,212,-181,84
-52,208,-199,98
-44,177,-200,65
-28,112,-150,60
-23,93,-141,84
-22,87,-139,175
-22,88,-147,167
-20,81,-142,159
-18,73,-133,167
-18,70,-136,175
-17,68,-138,175
-17,66,-141,183
-15,62,-140,167
-15,59,-140,183
-14,55,-141,167
-11,46,-139,98
-10,40,-131,183
-10,40,-139,175
-9,37,-141,183
-8,34,-136,183
-8,31,-136,183
-7,28,-135,175
-6,24,-131,167
-5,22,-131,175
-5,21,-142,167
-4,17,-135,175
-4,14,-138,175
-3,12,-134,183
-2,9,-133,183
-2,7,-136,175
-1,4,-133,183
0,2,-134,183
0,0,-131,183
1,-3,-136,183
1,-5,-134,183
2,-8,-133,183
3,-10,-132,175
5,-18,-112,35
0,0,-1,30
0,0,-1,30
0,0,-1,60
0,0,-1,25
0,-1,-1,25
0,-1,-1,30
0,-1,-1,35
0,-1,-1,25
0,-1,-1,25
0,-1,-1,30
0,-1,0,25
1304,-5231,-2282,35
0,-1,0,30
0,-1,0,30
0,-1,0,30
0,-1,0,35
0,-1,0,30
0,-1,0,35
0,-1,0,25
0,-1,0,35
0,-1,0,35
0,-1,0,25
0,-1,0,30
503,-2019,1444,40
0,-1,1,25
0,-1,1,30
0,-1,1,25
0,-1,1,35
0,-1,1,55
6,-23,46,70
6,-26,65,70
5,-20,60,84
4,-18,67,84
3,-13,64,98
3,-12,63,159
2,-9,62,98
1,-5,64,98
1,-4,59,167
1,-2,62,167
0,-1,58,175
0,0,61,175
0,1,64,175
-1,2,65,183
-1,4,67,175
-1,4,54,167
-2,6,59,159
-2,7,54,159
-2,9,60,159
-3,10,59,159
-3,12,62,159
-4,16,60,84
-4,16,55,167
-5,21,58,98
-6,26,62,98
-8,30,61,84
-7,29,55,159
-10,38,64,98
-10,38,57,98
-11,46,60,84
-12,48,56,84
-14,54,56,84
-15,58,53,84
-18,74,59,84
-20,80,57,98
-22,88,60,175
-22,89,58,175
-24,97,60,167
