X,Y,Z,SIGNAL_STRENGTH
61,-20,-7,84
61,-20,-1,84
61,-20,1,159
62,-20,3,175
60,-19,5,167
61,-20,10,98
65,-21,13,167
56,-18,13,159
54,-18,15,167
55,-18,17,167
63,-21,22,167
53,-17,20,175
64,-21,27,167
58,-19,27,159
57,-18,33,98
53,-17,33,167
60,-20,40,167
60,-19,43,175
53,-17,41,175
59,-19,48,167
55,-18,48,167
62,-20,58,175
57,-18,63,84
53,-17,72,84
56,-18,89,98
58,-19,98,167
56,-18,102,175
87,-28,174,159
93,-30,224,98
85,-28,224,183
75,-24,217,167
72,-23,227,183
66,-21,229,175
57,-19,220,175
49,-16,218,167
43,-14,220,175
37,-12,222,175
30,-10,228,167
23,-8,227,167
16,-5,222,183
10,-3,222,183
4,-1,217,183
-10,3,219,112
-18,6,231,167
-22,7,220,183
-28,9,222,183
-35,11,221,183
-41,13,218,175
-47,15,219,159
-54,17,220,183
-60,20,215,175
-67,22,217,175
-74,24,217,167
-82,27,217,167
-90,29,218,175
-98,32,218,167
-107,35,219,167
-114,37,217,175
-125,41,219,159
-133,43,216,159
-141,46,213,159
-158,51,221,159
-182,59,212,98
-191,62,187,84
-137,44,108,70
-128,42,94,167
-135,44,93,167
-125,41,81,183
-126,41,75,183
-128,42,72,175
-126,41,66,183
-133,43,65,183
-126,41,57,175
-126,41,53,183
-127,41,49,183
-125,41,44,175
-129,42,40,175
-124,40,34,175
-124,40,31,175
-132,43,29,183
-127,41,23,167
-126,41,19,175
-124,40,15,175
-125,41,11,175
-125,41,7,183
-127,41,3,175
-124,40,0,183
-125,41,-4,183
-126,41,-8,183
-127,41,-12,183
-3263,1060,-3009,25
2642,-858,-4556,45
39,-13,-23,40
62,-20,-30,98
63,-21,-28,159
60,-19,-20,84
56,-18,-13,84
58,-19,-8,84
61,-20,-3,98
58,-19,0,159
63,-20,5,98
59,-19,6,159
62,-20,9,167
53,-17,9,167
58,-19,12,167
62,-20,15,159
57,-18,16,167
56,-18,18,159
61,-20,22,159
58,-19,23,167
51,-17,22,167
56,-18,27,167
53,-17,30,98
55,-18,34,175
58,-19,38,159
55,-18,39,167
51,-16,39,159
61,-20,50,159
54,-17,52,98
56,-18,65,98
57,-18,79,84
57,-18,84,167
55,-18,87,175
55,-18,94,167
56,-18,101,175
81,-26,161,175
96,-31,229,98
86,-28,226,167
79,-26,227,167
71,-23,228,175
62,-20,220,159
55,-18,224,175
48,-16,222,175
42,-14,224,183
35,-11,226,183
28,-9,221,175
14,-5,221,112
8,-3,212,175
2,-1,220,175
-5,2,214,175
-11,3,219,183
-18,6,223,183
-23,8,215,175
-29,9,216,183
-36,12,220,191
-42,14,221,167
-49,16,218,175
-57,19,223,175
-62,20,219,175
-69,22,219,175
-76,25,217,175
-85,27,221,167
